name,domain,is_b2b,targets_marketing,targets_b2b_saas,email_opener,linkedin_note,source_url
Skuad,skuad.io,True,False,True,"Hiring and paying global talent is a headache most B2B SaaS teams know too well — compliance gaps, multi-currency payroll, and contractor misclassification risk all slow down scaling. Skuad handles all of that in one platform, so your team can onboard international hires in days, not months.","Hey [Name], would love to connect — always enjoy talking with SaaS folks navigating the complexities of global hiring!",
FoxHire,foxhire.com,True,False,False,,,
Factorial HR,factorialhr.com,True,False,False,,,
Oyster,oyster.com,True,False,True,Helping B2B SaaS companies hire and pay global talent compliantly is exactly what Oyster was built for — and I'd love to show you how we've helped similar teams scale distributed workforces without the legal headaches. Would it make sense to connect for a quick call?,Hey — love what Oyster is doing in the global employment space and thought it'd be great to connect with someone on your team!,
Wisemonk,wisemonk.io,True,False,True,I came across Wisemonk and was impressed by what you're building for B2B SaaS teams. I'd love to share how we've helped similar companies streamline their operations and accelerate growth.,Hey! Loved what I saw about Wisemonk — would love to connect and swap notes with fellow B2B SaaS folks.,
Rippling,rippling.com,True,False,True,"Noticed Rippling is helping B2B SaaS companies streamline HR, IT, and finance in one platform — impressive how quickly you've scaled that vision. I work with similar companies and thought there might be a good conversation to be had.",Love what Rippling is building for SaaS teams — would love to connect and swap ideas!,
Remote,remote.com,True,False,True,Remote has built an impressive platform for managing global payroll and compliance — a real pain point for scaling SaaS companies. I'd love to share how we've helped similar HR tech companies accelerate their sales pipeline.,Love what Remote is doing for global hiring — would be great to connect and swap ideas!,
WorkMotion,workmotion.com,True,False,False,,,
Foothold America,footholdamerica.com,True,False,False,,,
Insperity,insperity.com,True,False,False,,,
Papaya Global,papayaglobal.com,True,False,True,Managing a global workforce across multiple countries comes with serious compliance and payroll headaches — Papaya Global helps B2B SaaS companies streamline international hiring and payments in one platform. I wanted to reach out because I think we could save your team a lot of manual work.,Hey! I work with B2B SaaS teams tackling global payroll complexity — thought it'd be worth connecting.,
Paylocity,paylocity.com,True,False,False,,,
